ParticipantID,Age,Gender,Major,Proficiency,Pre_Linguistic,Pre_Strategic,Pre_Critical,Pre_Composite,Draft_Linguistic,Draft_Strategic,Draft_Critical,Draft_Composite,Edit_Linguistic,Edit_Strategic,Edit_Critical,Edit_Composite,WritingScore
P001,26,M,English Literature,Upper-Intermediate,2.71,3.03,3.75,3.16,3.52,3.67,3.26,3.49,4.12,4.07,3.72,3.97,20.0
P002,23,M,Translation Studies,Intermediate,4.22,3.76,3.69,3.89,3.44,4.39,3.7,3.85,3.57,3.6,4.05,3.74,19.47
P003,27,M,TEFL,Advanced,3.49,3.34,4.06,3.63,4.31,3.69,3.33,3.78,3.34,4.07,4.12,3.84,19.93
P004,23,F,TEFL,Intermediate,3.54,3.21,3.44,3.4,3.13,3.25,3.42,3.27,2.37,2.94,2.87,2.73,16.45
P005,21,M,Translation Studies,Upper-Intermediate,2.49,3.17,3.42,3.03,3.63,3.69,3.73,3.68,3.16,3.1,3.76,3.34,17.96
P006,19,F,Translation Studies,Intermediate,2.81,3.08,2.52,2.8,2.81,3.05,2.58,2.81,2.96,2.4,2.55,2.64,16.88
P007,26,F,English Literature,Upper-Intermediate,3.02,3.01,3.12,3.05,2.73,2.57,2.74,2.68,1.94,2.06,2.12,2.04,15.05
P008,24,F,TEFL,Advanced,3.56,4.11,3.27,3.65,3.64,3.26,3.57,3.49,4.16,2.88,3.96,3.66,19.14
P009,24,M,TEFL,Upper-Intermediate,3.26,3.15,3.94,3.45,3.02,2.63,3.23,2.96,3.25,3.82,3.56,3.55,19.26
P010,20,F,English Literature,Advanced,4.18,3.69,4.7,4.19,4.27,3.64,3.87,3.93,4.53,4.8,5.0,4.78,20.0
P011,20,F,English Literature,Intermediate,3.34,3.54,3.44,3.44,3.68,4.28,3.83,3.93,3.67,3.23,2.91,3.27,17.3
P012,27,M,TEFL,Intermediate,3.22,2.88,2.99,3.03,3.11,4.53,3.06,3.56,3.89,3.02,3.93,3.61,19.38
P013,28,M,Translation Studies,Intermediate,3.18,2.79,2.77,2.91,3.49,4.2,3.49,3.72,3.35,3.55,4.06,3.65,19.09
P014,23,F,English Literature,Upper-Intermediate,3.35,2.64,2.57,2.85,4.08,4.12,3.16,3.79,3.06,3.98,2.7,3.25,16.46
P015,22,F,TEFL,Intermediate,4.05,4.59,3.93,4.19,4.21,2.86,3.86,3.64,3.46,3.28,3.45,3.4,17.73
P016,19,F,TEFL,Intermediate,4.29,3.81,3.89,4.0,4.55,4.32,4.72,4.53,3.97,3.7,3.94,3.87,19.35
P017,28,F,Translation Studies,Upper-Intermediate,4.86,4.54,3.18,4.2,3.46,2.87,3.31,3.22,3.76,4.21,3.24,3.74,17.43
P018,22,M,English Literature,Advanced,3.32,1.95,1.77,2.35,2.16,1.33,1.48,1.66,3.28,1.57,1.66,2.17,20.0
P019,28,M,Translation Studies,Intermediate,5.0,4.75,5.0,4.92,5.0,5.0,5.0,5.0,5.0,4.56,5.0,4.85,19.32
P020,28,M,Translation Studies,Upper-Intermediate,3.72,3.82,3.67,3.73,3.64,3.28,3.8,3.57,3.59,4.69,4.43,4.23,20.0
P021,19,F,English Literature,Intermediate,3.64,3.17,3.28,3.36,2.17,3.51,3.27,2.98,2.49,2.81,3.17,2.82,17.92
P022,27,F,Translation Studies,Upper-Intermediate,4.06,2.04,3.21,3.1,3.41,3.47,3.14,3.34,2.45,3.49,4.19,3.37,15.3
P023,27,F,Translation Studies,Upper-Intermediate,3.85,4.67,4.31,4.28,4.88,4.61,4.24,4.58,4.89,4.24,4.43,4.52,18.93
P024,19,M,Translation Studies,Intermediate,3.93,3.44,4.13,3.83,3.92,4.45,3.91,4.09,2.75,3.51,2.95,3.07,17.03
P025,23,M,TEFL,Advanced,4.42,3.8,4.07,4.1,4.56,4.98,4.71,4.75,3.26,4.56,4.44,4.09,19.92
P026,21,M,English Literature,Intermediate,3.68,5.0,4.65,4.44,4.89,4.18,4.88,4.65,5.0,4.59,4.59,4.72,20.0
P027,24,F,Translation Studies,Intermediate,3.48,2.45,2.92,2.95,3.72,2.61,2.57,2.97,3.08,3.4,2.99,3.16,20.0
P028,28,F,TEFL,Advanced,3.91,3.01,4.82,3.91,3.79,4.07,4.67,4.17,3.21,3.39,3.21,3.27,16.68
P029,24,M,TEFL,Intermediate,2.61,3.79,3.53,3.31,3.99,4.11,3.83,3.98,4.14,3.88,4.03,4.02,17.61
P030,28,F,TEFL,Advanced,3.65,3.26,3.33,3.42,3.81,2.4,2.74,2.98,2.65,2.23,3.05,2.64,19.14
P031,20,M,TEFL,Advanced,3.29,4.01,3.38,3.56,2.91,3.03,2.59,2.84,2.89,3.15,3.73,3.26,20.0
P032,24,M,Translation Studies,Intermediate,2.61,1.76,3.13,2.5,2.37,2.4,2.14,2.3,2.34,2.88,2.58,2.6,18.26
P033,21,F,TEFL,Upper-Intermediate,4.25,3.55,4.27,4.03,3.91,3.65,3.89,3.82,4.69,4.76,3.75,4.4,19.72
P034,25,M,English Literature,Upper-Intermediate,4.3,3.73,3.35,3.79,3.11,3.59,3.92,3.54,4.0,5.0,4.7,4.57,17.65
P035,25,M,TEFL,Upper-Intermediate,4.02,3.54,4.24,3.93,3.14,3.71,5.0,3.95,3.82,4.43,3.75,4.0,20.0
P036,27,M,English Literature,Intermediate,3.04,3.8,4.01,3.62,3.65,3.32,3.69,3.55,3.31,3.93,2.55,3.27,17.6
P037,26,F,TEFL,Intermediate,1.95,1.55,1.0,1.5,2.03,3.52,2.52,2.69,2.03,2.54,1.53,2.03,16.44
P038,22,F,Translation Studies,Upper-Intermediate,3.89,3.22,4.01,3.71,4.37,3.07,3.12,3.52,4.23,3.46,4.26,3.98,18.09
P039,28,F,TEFL,Upper-Intermediate,4.19,3.9,4.15,4.08,4.6,3.59,4.69,4.29,4.1,4.95,3.18,4.08,17.51
P040,28,M,TEFL,Upper-Intermediate,2.36,2.41,2.59,2.45,1.98,2.84,2.82,2.55,2.68,2.77,2.64,2.69,20.0
P041,23,M,TEFL,Advanced,2.83,3.0,3.41,3.08,3.61,3.47,3.06,3.38,3.9,3.82,3.37,3.69,17.38
P042,23,M,Translation Studies,Intermediate,3.96,3.38,3.92,3.75,3.1,4.5,4.45,4.02,3.7,4.01,2.62,3.45,16.14
P043,24,F,TEFL,Upper-Intermediate,2.74,2.91,3.44,3.03,4.13,2.71,3.45,3.43,4.23,2.5,2.68,3.14,17.29
P044,28,F,TEFL,Advanced,3.45,2.9,3.82,3.39,2.87,2.87,3.46,3.07,3.57,3.41,2.34,3.11,19.19
P045,29,M,TEFL,Upper-Intermediate,2.48,2.24,3.24,2.65,3.0,2.57,3.61,3.06,2.66,2.9,3.01,2.86,16.62
P046,27,M,English Literature,Upper-Intermediate,3.26,2.58,4.59,3.48,5.0,3.58,2.81,3.8,3.63,3.64,3.69,3.65,16.42
P047,26,M,English Literature,Advanced,4.87,3.93,3.68,4.16,3.78,4.16,2.98,3.64,3.93,3.65,4.77,4.12,18.77
P048,19,F,Translation Studies,Intermediate,4.07,4.59,5.0,4.55,4.34,3.65,4.49,4.16,4.05,4.33,4.46,4.28,15.87
P049,28,F,TEFL,Upper-Intermediate,2.92,2.67,2.17,2.59,1.87,2.95,2.71,2.51,3.72,2.74,2.72,3.06,17.73
P050,28,M,English Literature,Upper-Intermediate,3.77,3.75,4.39,3.97,4.74,3.76,3.78,4.09,4.15,3.87,4.47,4.16,14.66
P051,22,F,Translation Studies,Intermediate,2.55,2.9,3.56,3.0,2.88,2.49,2.98,2.78,3.53,2.52,2.55,2.86,18.98
P052,21,F,English Literature,Intermediate,2.85,3.36,3.26,3.16,2.76,2.59,3.71,3.02,3.19,2.86,3.32,3.12,20.0
P053,29,M,English Literature,Intermediate,2.27,2.52,1.56,2.12,1.57,2.36,2.16,2.03,2.41,2.04,2.27,2.24,17.56
P054,27,F,Translation Studies,Upper-Intermediate,4.47,4.56,3.46,4.16,3.04,4.02,4.43,3.83,4.87,4.22,3.78,4.29,17.5
P055,21,F,TEFL,Upper-Intermediate,4.4,4.07,3.05,3.84,3.93,3.83,3.73,3.83,4.13,3.82,3.88,3.94,20.0
