ParticipantID,Age,Gender,Major,Proficiency,Stage,Strand,Score,WritingScore,StageNum,StageCentered
P001,26,M,English Literature,Upper-Intermediate,Pre,Linguistic,2.71,20.0,0,-1
P001,26,M,English Literature,Upper-Intermediate,Pre,Strategic,3.03,20.0,0,-1
P001,26,M,English Literature,Upper-Intermediate,Pre,Critical,3.75,20.0,0,-1
P001,26,M,English Literature,Upper-Intermediate,Draft,Linguistic,3.52,20.0,1,0
P001,26,M,English Literature,Upper-Intermediate,Draft,Strategic,3.67,20.0,1,0
P001,26,M,English Literature,Upper-Intermediate,Draft,Critical,3.26,20.0,1,0
P001,26,M,English Literature,Upper-Intermediate,Edit,Linguistic,4.12,20.0,2,1
P001,26,M,English Literature,Upper-Intermediate,Edit,Strategic,4.07,20.0,2,1
P001,26,M,English Literature,Upper-Intermediate,Edit,Critical,3.72,20.0,2,1
P002,23,M,Translation Studies,Intermediate,Pre,Linguistic,4.22,19.47,0,-1
P002,23,M,Translation Studies,Intermediate,Pre,Strategic,3.76,19.47,0,-1
P002,23,M,Translation Studies,Intermediate,Pre,Critical,3.69,19.47,0,-1
P002,23,M,Translation Studies,Intermediate,Draft,Linguistic,3.44,19.47,1,0
P002,23,M,Translation Studies,Intermediate,Draft,Strategic,4.39,19.47,1,0
P002,23,M,Translation Studies,Intermediate,Draft,Critical,3.7,19.47,1,0
P002,23,M,Translation Studies,Intermediate,Edit,Linguistic,3.57,19.47,2,1
P002,23,M,Translation Studies,Intermediate,Edit,Strategic,3.6,19.47,2,1
P002,23,M,Translation Studies,Intermediate,Edit,Critical,4.05,19.47,2,1
P003,27,M,TEFL,Advanced,Pre,Linguistic,3.49,19.93,0,-1
P003,27,M,TEFL,Advanced,Pre,Strategic,3.34,19.93,0,-1
P003,27,M,TEFL,Advanced,Pre,Critical,4.06,19.93,0,-1
P003,27,M,TEFL,Advanced,Draft,Linguistic,4.31,19.93,1,0
P003,27,M,TEFL,Advanced,Draft,Strategic,3.69,19.93,1,0
P003,27,M,TEFL,Advanced,Draft,Critical,3.33,19.93,1,0
P003,27,M,TEFL,Advanced,Edit,Linguistic,3.34,19.93,2,1
P003,27,M,TEFL,Advanced,Edit,Strategic,4.07,19.93,2,1
P003,27,M,TEFL,Advanced,Edit,Critical,4.12,19.93,2,1
P004,23,F,TEFL,Intermediate,Pre,Linguistic,3.54,16.45,0,-1
P004,23,F,TEFL,Intermediate,Pre,Strategic,3.21,16.45,0,-1
P004,23,F,TEFL,Intermediate,Pre,Critical,3.44,16.45,0,-1
P004,23,F,TEFL,Intermediate,Draft,Linguistic,3.13,16.45,1,0
P004,23,F,TEFL,Intermediate,Draft,Strategic,3.25,16.45,1,0
P004,23,F,TEFL,Intermediate,Draft,Critical,3.42,16.45,1,0
P004,23,F,TEFL,Intermediate,Edit,Linguistic,2.37,16.45,2,1
P004,23,F,TEFL,Intermediate,Edit,Strategic,2.94,16.45,2,1
P004,23,F,TEFL,Intermediate,Edit,Critical,2.87,16.45,2,1
P005,21,M,Translation Studies,Upper-Intermediate,Pre,Linguistic,2.49,17.96,0,-1
P005,21,M,Translation Studies,Upper-Intermediate,Pre,Strategic,3.17,17.96,0,-1
P005,21,M,Translation Studies,Upper-Intermediate,Pre,Critical,3.42,17.96,0,-1
P005,21,M,Translation Studies,Upper-Intermediate,Draft,Linguistic,3.63,17.96,1,0
P005,21,M,Translation Studies,Upper-Intermediate,Draft,Strategic,3.69,17.96,1,0
P005,21,M,Translation Studies,Upper-Intermediate,Draft,Critical,3.73,17.96,1,0
P005,21,M,Translation Studies,Upper-Intermediate,Edit,Linguistic,3.16,17.96,2,1
P005,21,M,Translation Studies,Upper-Intermediate,Edit,Strategic,3.1,17.96,2,1
P005,21,M,Translation Studies,Upper-Intermediate,Edit,Critical,3.76,17.96,2,1
P006,19,F,Translation Studies,Intermediate,Pre,Linguistic,2.81,16.88,0,-1
P006,19,F,Translation Studies,Intermediate,Pre,Strategic,3.08,16.88,0,-1
P006,19,F,Translation Studies,Intermediate,Pre,Critical,2.52,16.88,0,-1
P006,19,F,Translation Studies,Intermediate,Draft,Linguistic,2.81,16.88,1,0
P006,19,F,Translation Studies,Intermediate,Draft,Strategic,3.05,16.88,1,0
P006,19,F,Translation Studies,Intermediate,Draft,Critical,2.58,16.88,1,0
P006,19,F,Translation Studies,Intermediate,Edit,Linguistic,2.96,16.88,2,1
P006,19,F,Translation Studies,Intermediate,Edit,Strategic,2.4,16.88,2,1
P006,19,F,Translation Studies,Intermediate,Edit,Critical,2.55,16.88,2,1
P007,26,F,English Literature,Upper-Intermediate,Pre,Linguistic,3.02,15.05,0,-1
P007,26,F,English Literature,Upper-Intermediate,Pre,Strategic,3.01,15.05,0,-1
P007,26,F,English Literature,Upper-Intermediate,Pre,Critical,3.12,15.05,0,-1
P007,26,F,English Literature,Upper-Intermediate,Draft,Linguistic,2.73,15.05,1,0
P007,26,F,English Literature,Upper-Intermediate,Draft,Strategic,2.57,15.05,1,0
P007,26,F,English Literature,Upper-Intermediate,Draft,Critical,2.74,15.05,1,0
P007,26,F,English Literature,Upper-Intermediate,Edit,Linguistic,1.94,15.05,2,1
P007,26,F,English Literature,Upper-Intermediate,Edit,Strategic,2.06,15.05,2,1
P007,26,F,English Literature,Upper-Intermediate,Edit,Critical,2.12,15.05,2,1
P008,24,F,TEFL,Advanced,Pre,Linguistic,3.56,19.14,0,-1
P008,24,F,TEFL,Advanced,Pre,Strategic,4.11,19.14,0,-1
P008,24,F,TEFL,Advanced,Pre,Critical,3.27,19.14,0,-1
P008,24,F,TEFL,Advanced,Draft,Linguistic,3.64,19.14,1,0
P008,24,F,TEFL,Advanced,Draft,Strategic,3.26,19.14,1,0
P008,24,F,TEFL,Advanced,Draft,Critical,3.57,19.14,1,0
P008,24,F,TEFL,Advanced,Edit,Linguistic,4.16,19.14,2,1
P008,24,F,TEFL,Advanced,Edit,Strategic,2.88,19.14,2,1
P008,24,F,TEFL,Advanced,Edit,Critical,3.96,19.14,2,1
P009,24,M,TEFL,Upper-Intermediate,Pre,Linguistic,3.26,19.26,0,-1
P009,24,M,TEFL,Upper-Intermediate,Pre,Strategic,3.15,19.26,0,-1
P009,24,M,TEFL,Upper-Intermediate,Pre,Critical,3.94,19.26,0,-1
P009,24,M,TEFL,Upper-Intermediate,Draft,Linguistic,3.02,19.26,1,0
P009,24,M,TEFL,Upper-Intermediate,Draft,Strategic,2.63,19.26,1,0
P009,24,M,TEFL,Upper-Intermediate,Draft,Critical,3.23,19.26,1,0
