ParticipantID,Age,Gender,Major,Proficiency,Pre_Composite,Draft_Composite,Edit_Composite,Gain_Composite,Gain_Composite_pct,Gain_Linguistic,Gain_Strategic,Gain_Critical,WritingScore
P001,26,M,English Literature,Upper-Intermediate,3.16,3.49,3.97,0.81,25.63,1.41,1.04,-0.03,20.0
P002,23,M,Translation Studies,Intermediate,3.89,3.85,3.74,-0.15,-3.86,-0.65,-0.16,0.36,19.47
P003,27,M,TEFL,Advanced,3.63,3.78,3.84,0.21,5.79,-0.15,0.73,0.06,19.93
P004,23,F,TEFL,Intermediate,3.4,3.27,2.73,-0.67,-19.71,-1.17,-0.27,-0.57,16.45
P005,21,M,Translation Studies,Upper-Intermediate,3.03,3.68,3.34,0.31,10.23,0.67,-0.07,0.34,17.96
P006,19,F,Translation Studies,Intermediate,2.8,2.81,2.64,-0.16,-5.71,0.15,-0.68,0.03,16.88
P007,26,F,English Literature,Upper-Intermediate,3.05,2.68,2.04,-1.01,-33.11,-1.08,-0.95,-1.0,15.05
P008,24,F,TEFL,Advanced,3.65,3.49,3.66,0.01,0.27,0.6,-1.23,0.69,19.14
P009,24,M,TEFL,Upper-Intermediate,3.45,2.96,3.55,0.1,2.9,-0.01,0.67,-0.38,19.26
P010,20,F,English Literature,Advanced,4.19,3.93,4.78,0.59,14.08,0.35,1.11,0.3,20.0
P011,20,F,English Literature,Intermediate,3.44,3.93,3.27,-0.17,-4.94,0.33,-0.31,-0.53,17.3
P012,27,M,TEFL,Intermediate,3.03,3.56,3.61,0.58,19.14,0.67,0.14,0.94,19.38
P013,28,M,Translation Studies,Intermediate,2.91,3.72,3.65,0.74,25.43,0.17,0.76,1.29,19.09
P014,23,F,English Literature,Upper-Intermediate,2.85,3.79,3.25,0.4,14.04,-0.29,1.34,0.13,16.46
P015,22,F,TEFL,Intermediate,4.19,3.64,3.4,-0.79,-18.85,-0.59,-1.31,-0.48,17.73
P016,19,F,TEFL,Intermediate,4.0,4.53,3.87,-0.13,-3.25,-0.32,-0.11,0.05,19.35
P017,28,F,Translation Studies,Upper-Intermediate,4.2,3.22,3.74,-0.46,-10.95,-1.1,-0.33,0.06,17.43
P018,22,M,English Literature,Advanced,2.35,1.66,2.17,-0.18,-7.66,-0.04,-0.38,-0.11,20.0
P019,28,M,Translation Studies,Intermediate,4.92,5.0,4.85,-0.07,-1.42,0.0,-0.19,0.0,19.32
P020,28,M,Translation Studies,Upper-Intermediate,3.73,3.57,4.23,0.5,13.4,-0.13,0.87,0.76,20.0
P021,19,F,English Literature,Intermediate,3.36,2.98,2.82,-0.54,-16.07,-1.15,-0.36,-0.11,17.92
P022,27,F,Translation Studies,Upper-Intermediate,3.1,3.34,3.37,0.27,8.71,-1.61,1.45,0.98,15.3
P023,27,F,Translation Studies,Upper-Intermediate,4.28,4.58,4.52,0.24,5.61,1.04,-0.43,0.12,18.93
P024,19,M,Translation Studies,Intermediate,3.83,4.09,3.07,-0.76,-19.84,-1.18,0.07,-1.18,17.03
P025,23,M,TEFL,Advanced,4.1,4.75,4.09,-0.01,-0.24,-1.16,0.76,0.37,19.92
P026,21,M,English Literature,Intermediate,4.44,4.65,4.72,0.28,6.31,1.32,-0.41,-0.06,20.0
P027,24,F,Translation Studies,Intermediate,2.95,2.97,3.16,0.21,7.12,-0.4,0.95,0.07,20.0
P028,28,F,TEFL,Advanced,3.91,4.17,3.27,-0.64,-16.37,-0.7,0.38,-1.61,16.68
P029,24,M,TEFL,Intermediate,3.31,3.98,4.02,0.71,21.45,1.53,0.09,0.5,17.61
P030,28,F,TEFL,Advanced,3.42,2.98,2.64,-0.78,-22.81,-1.0,-1.03,-0.28,19.14
P031,20,M,TEFL,Advanced,3.56,2.84,3.26,-0.3,-8.43,-0.4,-0.86,0.35,20.0
P032,24,M,Translation Studies,Intermediate,2.5,2.3,2.6,0.1,4.0,-0.27,1.12,-0.55,18.26
P033,21,F,TEFL,Upper-Intermediate,4.03,3.82,4.4,0.37,9.18,0.44,1.21,-0.52,19.72
P034,25,M,English Literature,Upper-Intermediate,3.79,3.54,4.57,0.78,20.58,-0.3,1.27,1.35,17.65
P035,25,M,TEFL,Upper-Intermediate,3.93,3.95,4.0,0.07,1.78,-0.2,0.89,-0.49,20.0
P036,27,M,English Literature,Intermediate,3.62,3.55,3.27,-0.35,-9.67,0.27,0.13,-1.46,17.6
P037,26,F,TEFL,Intermediate,1.5,2.69,2.03,0.53,35.33,0.08,0.99,0.53,16.44
P038,22,F,Translation Studies,Upper-Intermediate,3.71,3.52,3.98,0.27,7.28,0.34,0.24,0.25,18.09
P039,28,F,TEFL,Upper-Intermediate,4.08,4.29,4.08,0.0,0.0,-0.09,1.05,-0.97,17.51
P040,28,M,TEFL,Upper-Intermediate,2.45,2.55,2.69,0.24,9.8,0.32,0.36,0.05,20.0
P041,23,M,TEFL,Advanced,3.08,3.38,3.69,0.61,19.81,1.07,0.82,-0.04,17.38
P042,23,M,Translation Studies,Intermediate,3.75,4.02,3.45,-0.3,-8.0,-0.26,0.63,-1.3,16.14
P043,24,F,TEFL,Upper-Intermediate,3.03,3.43,3.14,0.11,3.63,1.49,-0.41,-0.76,17.29
P044,28,F,TEFL,Advanced,3.39,3.07,3.11,-0.28,-8.26,0.12,0.51,-1.48,19.19
P045,29,M,TEFL,Upper-Intermediate,2.65,3.06,2.86,0.21,7.92,0.18,0.66,-0.23,16.62
P046,27,M,English Literature,Upper-Intermediate,3.48,3.8,3.65,0.17,4.89,0.37,1.06,-0.9,16.42
P047,26,M,English Literature,Advanced,4.16,3.64,4.12,-0.04,-0.96,-0.94,-0.28,1.09,18.77
P048,19,F,Translation Studies,Intermediate,4.55,4.16,4.28,-0.27,-5.93,-0.02,-0.26,-0.54,15.87
P049,28,F,TEFL,Upper-Intermediate,2.59,2.51,3.06,0.47,18.15,0.8,0.07,0.55,17.73
P050,28,M,English Literature,Upper-Intermediate,3.97,4.09,4.16,0.19,4.79,0.38,0.12,0.08,14.66
P051,22,F,Translation Studies,Intermediate,3.0,2.78,2.86,-0.14,-4.67,0.98,-0.38,-1.01,18.98
P052,21,F,English Literature,Intermediate,3.16,3.02,3.12,-0.04,-1.27,0.34,-0.5,0.06,20.0
P053,29,M,English Literature,Intermediate,2.12,2.03,2.24,0.12,5.66,0.14,-0.48,0.71,17.56
P054,27,F,Translation Studies,Upper-Intermediate,4.16,3.83,4.29,0.13,3.12,0.4,-0.34,0.32,17.5
P055,21,F,TEFL,Upper-Intermediate,3.84,3.83,3.94,0.1,2.6,-0.27,-0.25,0.83,20.0
P056,27,F,English Literature,Intermediate,4.06,4.2,3.56,-0.5,-12.32,0.65,-0.74,-1.41,19.35
P057,20,F,TEFL,Intermediate,3.99,3.55,3.21,-0.78,-19.55,-1.44,-0.52,-0.38,15.71
P058,22,M,English Literature,Intermediate,4.32,3.49,4.14,-0.18,-4.17,-0.32,-0.34,0.13,20.0
P059,26,F,TEFL,Upper-Intermediate,3.33,3.28,3.44,0.11,3.3,-0.1,0.41,0.01,16.16
P060,26,M,Translation Studies,Advanced,2.35,3.2,3.03,0.68,28.94,1.19,-0.28,1.13,20.0
P061,27,M,TEFL,Upper-Intermediate,3.31,3.09,3.12,-0.19,-5.74,1.04,-0.76,-0.85,18.85
P062,25,F,English Literature,Upper-Intermediate,5.0,5.0,4.81,-0.19,-3.8,0.0,0.0,-0.56,20.0
