Proficiency,Stage,Strand,count,mean,sd
Advanced,Draft,Critical,23,3.354,0.726
Advanced,Draft,Linguistic,23,3.577,0.628
Advanced,Draft,Strategic,23,3.416,0.755
Advanced,Edit,Critical,23,3.561,0.729
Advanced,Edit,Linguistic,23,3.628,0.605
Advanced,Edit,Strategic,23,3.449,0.846
Advanced,Pre,Critical,23,3.541,0.873
Advanced,Pre,Linguistic,23,3.499,0.691
Advanced,Pre,Strategic,23,3.299,0.756
Intermediate,Draft,Critical,41,3.564,0.847
Intermediate,Draft,Linguistic,41,3.487,0.808
Intermediate,Draft,Strategic,41,3.515,0.879
Intermediate,Edit,Critical,41,3.412,0.88
Intermediate,Edit,Linguistic,41,3.431,0.758
Intermediate,Edit,Strategic,41,3.434,0.848
Intermediate,Pre,Critical,41,3.475,0.913
Intermediate,Pre,Linguistic,41,3.448,0.82
Intermediate,Pre,Strategic,41,3.416,0.874
Upper-Intermediate,Draft,Critical,36,3.529,0.696
Upper-Intermediate,Draft,Linguistic,36,3.571,0.807
Upper-Intermediate,Draft,Strategic,36,3.469,0.724
Upper-Intermediate,Edit,Critical,36,3.51,0.747
Upper-Intermediate,Edit,Linguistic,36,3.586,0.824
Upper-Intermediate,Edit,Strategic,36,3.672,0.884
Upper-Intermediate,Pre,Critical,36,3.516,0.717
Upper-Intermediate,Pre,Linguistic,36,3.541,0.853
Upper-Intermediate,Pre,Strategic,36,3.353,0.724
